Station Code,Station Name,District,State,Trains passing through
AA,Ataria,Sitapur,Uttar Pradesh,1
AABH,Ambika Bhawani Halt,Saran,Bihar,2
AADR,Amb Andaura,Una,Himachal Pradesh,4
AAG,Angar,Solapur,Maharashtra,0
AAH,Itehar,Bhind,Madhya Pradesh,0
AAK,Ankai Kila,Nashik,Maharashtra,0
AAL,Amlai,Shahdol,Madhya Pradesh,14
AAM,Angadippuram,Malappuram,Kerala,2
AAP,Ambiapur,Kanpur Dehat,Uttar Pradesh,0
AAR,Adesar,Kutch,Gujarat,4
AAS,Asranada,Jodhpur,Rajasthan,2
AAU,Alapadu,Krishna,Andhra Pradesh,0
AAV,Ambav,Kheda,Gujarat,0
AAY,Aralvaymozhi,Kanyakumari,Tamil Nadu,4
AB,Ambur,Tirupattur,Tamil Nadu,31
ABB,Abada,Howrah,West Bengal,0
ABD,Ambli Road,Ahmadabad,Gujarat,6
ABE,Ambikeshwar,Morena,Madhya Pradesh,0
ABEO,Pattaravakkam,Chennai,Tamil Nadu,0
ABFC,Ambari Falakata,Jalpaiguri,West Bengal,1
ABGM,Ambalgram,Purba Bardhaman,West Bengal,0
ABGT,Arbagatta Halt,Chitradurga,Karnataka,0
ABH,Ambarnath,Thane,Maharashtra,0
ABI,Ambaturai,Dindigul,Tamil Nadu,2
ABKA,Ambika Kalna,Purba Bardhaman,West Bengal,17
ABKP,Ambikapur,Surguja,Chhatisgarh,4
ABLE,Ambale,Pune,Maharashtra,1
ABM,Ambapuram,Krishna,Andhra Pradesh,0
ABO,Asthal Bohar,Rohtak,Haryana,0
ABP,Akbarpur,Kanpur Dehat,Uttar Pradesh,42
ABR,Abu Road,Sirohi,Rajasthan,98
ABS,Abohar,Fazilka,Punjab,16
ABSA,Ambasa,Dhalai,Tripura,11
ABU,Ambattur,Chennai,Tamil Nadu,2
ABV,Ambuga,#N/A,,0
ABW,Abutara Halt,Cooch Behar,West Bengal,0
ABX,Ambari,Nanded,Maharashtra,0
